scanID	Sup_pop	Sub_pop
BF001	AMR	BH
BF007	AMR	BH
BF008	AMR	BH
BF010	AMR	BH
BF022	AMR	BH
BF040	AMR	BH
BF044	AMR	BH
BF046	AMR	BH
BF047	AMR	BH
BF048	AMR	BH
BF052	AMR	BH
BF057	AMR	BH
BF062	AMR	BH
BF063	AMR	BH
BM003	AMR	BH
BM036	AMR	BH
BM038	AMR	BH
BM039	AMR	BH
BM044	AMR	BH
BM051	AMR	BH
BM052	AMR	BH
BM056	AMR	BH
BM060	AMR	BH
BM071	AMR	BH
HG00096	EUR	GBR
HG00097	EUR	GBR
HG00099	EUR	GBR
HG00100	EUR	GBR
HG00101	EUR	GBR
HG00102	EUR	GBR
HG00103	EUR	GBR
HG00105	EUR	GBR
HG00106	EUR	GBR
HG00107	EUR	GBR
HG00108	EUR	GBR
HG00109	EUR	GBR
HG00110	EUR	GBR
HG00111	EUR	GBR
HG00112	EUR	GBR
HG00113	EUR	GBR
HG00114	EUR	GBR
HG00115	EUR	GBR
HG00116	EUR	GBR
HG00117	EUR	GBR
HG00118	EUR	GBR
HG00119	EUR	GBR
HG00120	EUR	GBR
HG00121	EUR	GBR
HG00122	EUR	GBR
HG00123	EUR	GBR
HG00125	EUR	GBR
HG00126	EUR	GBR
HG00127	EUR	GBR
HG00128	EUR	GBR
HG00129	EUR	GBR
HG00130	EUR	GBR
HG00131	EUR	GBR
HG00132	EUR	GBR
HG00133	EUR	GBR
HG00136	EUR	GBR
HG00137	EUR	GBR
HG00138	EUR	GBR
HG00139	EUR	GBR
HG00140	EUR	GBR
HG00141	EUR	GBR
HG00142	EUR	GBR
HG00143	EUR	GBR
HG00145	EUR	GBR
HG00146	EUR	GBR
HG00148	EUR	GBR
HG00149	EUR	GBR
HG00150	EUR	GBR
HG00151	EUR	GBR
HG00154	EUR	GBR
HG00157	EUR	GBR
HG00158	EUR	GBR
HG00159	EUR	GBR
HG00160	EUR	GBR
HG00171	EUR	FIN
HG00173	EUR	FIN
HG00174	EUR	FIN
HG00176	EUR	FIN
HG00177	EUR	FIN
HG00178	EUR	FIN
HG00179	EUR	FIN
HG00180	EUR	FIN
HG00181	EUR	FIN
HG00182	EUR	FIN
HG00183	EUR	FIN
HG00185	EUR	FIN
HG00186	EUR	FIN
HG00187	EUR	FIN
HG00188	EUR	FIN
HG00189	EUR	FIN
HG00190	EUR	FIN
HG00231	EUR	GBR
HG00232	EUR	GBR
HG00233	EUR	GBR
HG00234	EUR	GBR
HG00235	EUR	GBR
HG00236	EUR	GBR
HG00237	EUR	GBR
HG00238	EUR	GBR
HG00239	EUR	GBR
HG00240	EUR	GBR
HG00242	EUR	GBR
HG00243	EUR	GBR
HG00244	EUR	GBR
HG00245	EUR	GBR
HG00246	EUR	GBR
HG00250	EUR	GBR
HG00251	EUR	GBR
HG00252	EUR	GBR
HG00253	EUR	GBR
HG00254	EUR	GBR
HG00255	EUR	GBR
HG00256	EUR	GBR
HG00257	EUR	GBR
HG00258	EUR	GBR
HG00259	EUR	GBR
HG00260	EUR	GBR
HG00261	EUR	GBR
HG00262	EUR	GBR
HG00263	EUR	GBR
HG00264	EUR	GBR
HG00265	EUR	GBR
HG00266	EUR	FIN
HG00267	EUR	FIN
HG00268	EUR	FIN
HG00269	EUR	FIN
HG00271	EUR	FIN
HG00272	EUR	FIN
HG00273	EUR	FIN
HG00274	EUR	FIN
HG00275	EUR	FIN
HG00276	EUR	FIN
HG00277	EUR	FIN
HG00278	EUR	FIN
HG00280	EUR	FIN
HG00281	EUR	FIN
HG00282	EUR	FIN
HG00284	EUR	FIN
HG00285	EUR	FIN
HG00288	EUR	FIN
HG00290	EUR	FIN
HG00304	EUR	FIN
HG00306	EUR	FIN
HG00308	EUR	FIN
HG00309	EUR	FIN
HG00310	EUR	FIN
HG00311	EUR	FIN
HG00313	EUR	FIN
HG00315	EUR	FIN
HG00318	EUR	FIN
HG00319	EUR	FIN
HG00320	EUR	FIN
HG00321	EUR	FIN
HG00323	EUR	FIN
HG00324	EUR	FIN
HG00325	EUR	FIN
HG00326	EUR	FIN
HG00327	EUR	FIN
HG00328	EUR	FIN
HG00329	EUR	FIN
HG00330	EUR	FIN
HG00331	EUR	FIN
HG00332	EUR	FIN
HG00334	EUR	FIN
HG00335	EUR	FIN
HG00336	EUR	FIN
HG00337	EUR	FIN
HG00338	EUR	FIN
HG00339	EUR	FIN
HG00341	EUR	FIN
HG00342	EUR	FIN
HG00343	EUR	FIN
HG00344	EUR	FIN
HG00345	EUR	FIN
HG00346	EUR	FIN
HG00349	EUR	FIN
HG00350	EUR	FIN
HG00351	EUR	FIN
HG00353	EUR	FIN
HG00355	EUR	FIN
HG00356	EUR	FIN
HG00357	EUR	FIN
HG00358	EUR	FIN
HG00360	EUR	FIN
HG00361	EUR	FIN
HG00362	EUR	FIN
HG00364	EUR	FIN
HG00365	EUR	FIN
HG00366	EUR	FIN
HG00367	EUR	FIN
HG00368	EUR	FIN
HG00369	EUR	FIN
HG00371	EUR	FIN
HG00372	EUR	FIN
HG00373	EUR	FIN
HG00375	EUR	FIN
HG00376	EUR	FIN
HG00378	EUR	FIN
HG00379	EUR	FIN
HG00380	EUR	FIN
HG00381	EUR	FIN
HG00382	EUR	FIN
HG00383	EUR	FIN
HG00384	EUR	FIN
HG00403	EAS	CHS
HG00404	EAS	CHS
HG00406	EAS	CHS
HG00407	EAS	CHS
HG00409	EAS	CHS
HG00410	EAS	CHS
HG00419	EAS	CHS
HG00421	EAS	CHS
HG00422	EAS	CHS
HG00428	EAS	CHS
HG00436	EAS	CHS
HG00437	EAS	CHS
HG00442	EAS	CHS
HG00443	EAS	CHS
HG00445	EAS	CHS
HG00446	EAS	CHS
HG00448	EAS	CHS
HG00449	EAS	CHS
HG00451	EAS	CHS
HG00452	EAS	CHS
HG00457	EAS	CHS
HG00458	EAS	CHS
HG00463	EAS	CHS
HG00464	EAS	CHS
HG00472	EAS	CHS
HG00473	EAS	CHS
HG00475	EAS	CHS
HG00476	EAS	CHS
HG00478	EAS	CHS
HG00479	EAS	CHS
HG00500	EAS	CHS
HG00513	EAS	CHS
HG00524	EAS	CHS
HG00525	EAS	CHS
HG00530	EAS	CHS
HG00531	EAS	CHS
HG00533	EAS	CHS
HG00534	EAS	CHS
HG00536	EAS	CHS
HG00537	EAS	CHS
HG00542	EAS	CHS
HG00543	EAS	CHS
HG00551	AMR	PUR
HG00553	AMR	PUR
HG00554	AMR	PUR
HG00556	EAS	CHS
HG00557	EAS	CHS
HG00559	EAS	CHS
HG00560	EAS	CHS
HG00565	EAS	CHS
HG00566	EAS	CHS
HG00580	EAS	CHS
HG00581	EAS	CHS
HG00583	EAS	CHS
HG00584	EAS	CHS
HG00589	EAS	CHS
HG00590	EAS	CHS
HG00592	EAS	CHS
HG00593	EAS	CHS
HG00595	EAS	CHS
HG00596	EAS	CHS
HG00598	EAS	CHS
HG00599	EAS	CHS
HG00607	EAS	CHS
HG00608	EAS	CHS
HG00610	EAS	CHS
HG00611	EAS	CHS
HG00613	EAS	CHS
HG00614	EAS	CHS
HG00619	EAS	CHS
HG00620	EAS	CHS
HG00622	EAS	CHS
HG00623	EAS	CHS
HG00625	EAS	CHS
HG00626	EAS	CHS
HG00628	EAS	CHS
HG00629	EAS	CHS
HG00631	EAS	CHS
HG00632	EAS	CHS
HG00634	EAS	CHS
HG00637	AMR	PUR
HG00638	AMR	PUR
HG00640	AMR	PUR
HG00641	AMR	PUR
HG00650	EAS	CHS
HG00651	EAS	CHS
HG00653	EAS	CHS
HG00654	EAS	CHS
HG00656	EAS	CHS
HG00657	EAS	CHS
HG00662	EAS	CHS
HG00663	EAS	CHS
HG00671	EAS	CHS
HG00672	EAS	CHS
HG00674	EAS	CHS
HG00675	EAS	CHS
HG00683	EAS	CHS
HG00684	EAS	CHS
HG00689	EAS	CHS
HG00690	EAS	CHS
HG00692	EAS	CHS
HG00693	EAS	CHS
HG00698	EAS	CHS
HG00699	EAS	CHS
HG00701	EAS	CHS
HG00704	EAS	CHS
HG00705	EAS	CHS
HG00707	EAS	CHS
HG00708	EAS	CHS
HG00717	EAS	CHS
HG00728	EAS	CHS
HG00729	EAS	CHS
HG00731	AMR	PUR
HG00732	AMR	PUR
HG00734	AMR	PUR
HG00736	AMR	PUR
HG00737	AMR	PUR
HG00739	AMR	PUR
HG00740	AMR	PUR
HG00742	AMR	PUR
HG00743	AMR	PUR
HG00759	EAS	CDX
HG00766	EAS	CDX
HG00844	EAS	CDX
HG00851	EAS	CDX
